... loading data
training member 0
epoch 1, minibatch 166/166, validation error 11.212121 %
epoch 2, minibatch 166/166, validation error 10.454545 %
epoch 3, minibatch 166/166, validation error 10.020202 %
epoch 4, minibatch 166/166, validation error 9.575758 %
epoch 5, minibatch 166/166, validation error 9.262626 %
epoch 6, minibatch 166/166, validation error 9.010101 %
epoch 7, minibatch 166/166, validation error 8.858586 %
epoch 8, minibatch 166/166, validation error 8.626263 %
epoch 9, minibatch 166/166, validation error 8.373737 %
epoch 10, minibatch 166/166, validation error 8.232323 %
epoch 11, minibatch 166/166, validation error 8.101010 %
epoch 12, minibatch 166/166, validation error 7.939394 %
epoch 13, minibatch 166/166, validation error 7.838384 %
epoch 14, minibatch 166/166, validation error 7.696970 %
epoch 15, minibatch 166/166, validation error 7.555556 %
epoch 16, minibatch 166/166, validation error 7.454545 %
epoch 17, minibatch 166/166, validation error 7.343434 %
epoch 18, minibatch 166/166, validation error 7.191919 %
epoch 19, minibatch 166/166, validation error 7.090909 %
epoch 20, minibatch 166/166, validation error 6.919192 %
epoch 21, minibatch 166/166, validation error 6.848485 %
epoch 22, minibatch 166/166, validation error 6.777778 %
epoch 23, minibatch 166/166, validation error 6.676768 %
epoch 24, minibatch 166/166, validation error 6.626263 %
epoch 25, minibatch 166/166, validation error 6.545455 %
epoch 26, minibatch 166/166, validation error 6.454545 %
epoch 27, minibatch 166/166, validation error 6.414141 %
epoch 28, minibatch 166/166, validation error 6.313131 %
epoch 29, minibatch 166/166, validation error 6.222222 %
epoch 30, minibatch 166/166, validation error 6.161616 %
epoch 31, minibatch 166/166, validation error 6.070707 %
epoch 32, minibatch 166/166, validation error 6.020202 %
epoch 33, minibatch 166/166, validation error 5.888889 %
epoch 34, minibatch 166/166, validation error 5.757576 %
epoch 35, minibatch 166/166, validation error 5.696970 %
epoch 36, minibatch 166/166, validation error 5.585859 %
epoch 37, minibatch 166/166, validation error 5.575758 %
epoch 38, minibatch 166/166, validation error 5.525253 %
epoch 39, minibatch 166/166, validation error 5.393939 %
epoch 40, minibatch 166/166, validation error 5.353535 %
epoch 41, minibatch 166/166, validation error 5.313131 %
epoch 43, minibatch 166/166, validation error 5.303030 %
epoch 44, minibatch 166/166, validation error 5.272727 %
epoch 45, minibatch 166/166, validation error 5.262626 %
epoch 46, minibatch 166/166, validation error 5.232323 %
epoch 48, minibatch 166/166, validation error 5.232323 %
epoch 49, minibatch 166/166, validation error 5.161616 %
epoch 50, minibatch 166/166, validation error 5.080808 %
epoch 51, minibatch 166/166, validation error 5.060606 %
epoch 52, minibatch 166/166, validation error 5.020202 %
epoch 53, minibatch 166/166, validation error 4.949495 %
epoch 54, minibatch 166/166, validation error 4.898990 %
epoch 55, minibatch 166/166, validation error 4.868687 %
epoch 56, minibatch 166/166, validation error 4.848485 %
epoch 58, minibatch 166/166, validation error 4.757576 %
epoch 61, minibatch 166/166, validation error 4.737374 %
epoch 62, minibatch 166/166, validation error 4.707071 %
epoch 63, minibatch 166/166, validation error 4.696970 %
epoch 64, minibatch 166/166, validation error 4.676768 %
epoch 65, minibatch 166/166, validation error 4.636364 %
epoch 70, minibatch 166/166, validation error 4.555556 %
epoch 71, minibatch 166/166, validation error 4.545455 %
epoch 73, minibatch 166/166, validation error 4.525253 %
epoch 74, minibatch 166/166, validation error 4.484848 %
epoch 75, minibatch 166/166, validation error 4.444444 %
epoch 76, minibatch 166/166, validation error 4.414141 %
epoch 77, minibatch 166/166, validation error 4.333333 %
epoch 86, minibatch 166/166, validation error 4.292929 %
epoch 87, minibatch 166/166, validation error 4.272727 %
epoch 92, minibatch 166/166, validation error 4.262626 %
epoch 94, minibatch 166/166, validation error 4.242424 %
epoch 95, minibatch 166/166, validation error 4.232323 %
epoch 96, minibatch 166/166, validation error 4.161616 %
epoch 102, minibatch 166/166, validation error 4.151515 %
epoch 103, minibatch 166/166, validation error 4.111111 %
epoch 105, minibatch 166/166, validation error 4.101010 %
epoch 109, minibatch 166/166, validation error 4.090909 %
epoch 110, minibatch 166/166, validation error 4.080808 %
epoch 112, minibatch 166/166, validation error 4.070707 %
epoch 128, minibatch 166/166, validation error 4.050505 %
epoch 129, minibatch 166/166, validation error 4.030303 %
epoch 137, minibatch 166/166, validation error 4.000000 %
epoch 140, minibatch 166/166, validation error 4.000000 %
epoch 141, minibatch 166/166, validation error 3.949495 %
epoch 142, minibatch 166/166, validation error 3.919192 %
epoch 144, minibatch 166/166, validation error 3.888889 %
Selection : Best validation score of 3.88888888889 %
training member 1
epoch 1, minibatch 166/166, validation error 13.595960 %
epoch 2, minibatch 166/166, validation error 12.191919 %
epoch 3, minibatch 166/166, validation error 11.545455 %
epoch 4, minibatch 166/166, validation error 11.030303 %
epoch 5, minibatch 166/166, validation error 10.616162 %
epoch 6, minibatch 166/166, validation error 10.434343 %
epoch 7, minibatch 166/166, validation error 9.989899 %
epoch 8, minibatch 166/166, validation error 9.646465 %
epoch 9, minibatch 166/166, validation error 9.464646 %
epoch 10, minibatch 166/166, validation error 9.151515 %
epoch 11, minibatch 166/166, validation error 8.888889 %
epoch 12, minibatch 166/166, validation error 8.595960 %
epoch 13, minibatch 166/166, validation error 8.292929 %
epoch 14, minibatch 166/166, validation error 8.111111 %
epoch 15, minibatch 166/166, validation error 7.878788 %
epoch 16, minibatch 166/166, validation error 7.747475 %
epoch 17, minibatch 166/166, validation error 7.606061 %
epoch 18, minibatch 166/166, validation error 7.484848 %
epoch 19, minibatch 166/166, validation error 7.373737 %
epoch 20, minibatch 166/166, validation error 7.262626 %
epoch 21, minibatch 166/166, validation error 7.191919 %
epoch 22, minibatch 166/166, validation error 6.969697 %
epoch 23, minibatch 166/166, validation error 6.828283 %
epoch 24, minibatch 166/166, validation error 6.686869 %
epoch 25, minibatch 166/166, validation error 6.676768 %
epoch 26, minibatch 166/166, validation error 6.626263 %
epoch 27, minibatch 166/166, validation error 6.555556 %
epoch 28, minibatch 166/166, validation error 6.444444 %
epoch 29, minibatch 166/166, validation error 6.373737 %
epoch 30, minibatch 166/166, validation error 6.343434 %
epoch 31, minibatch 166/166, validation error 6.323232 %
epoch 32, minibatch 166/166, validation error 6.151515 %
epoch 33, minibatch 166/166, validation error 6.090909 %
epoch 34, minibatch 166/166, validation error 6.060606 %
epoch 35, minibatch 166/166, validation error 5.979798 %
epoch 36, minibatch 166/166, validation error 5.949495 %
epoch 37, minibatch 166/166, validation error 5.787879 %
epoch 38, minibatch 166/166, validation error 5.787879 %
epoch 39, minibatch 166/166, validation error 5.717172 %
epoch 41, minibatch 166/166, validation error 5.656566 %
epoch 42, minibatch 166/166, validation error 5.606061 %
epoch 43, minibatch 166/166, validation error 5.555556 %
epoch 44, minibatch 166/166, validation error 5.515152 %
epoch 45, minibatch 166/166, validation error 5.434343 %
epoch 46, minibatch 166/166, validation error 5.373737 %
epoch 47, minibatch 166/166, validation error 5.303030 %
epoch 48, minibatch 166/166, validation error 5.292929 %
epoch 49, minibatch 166/166, validation error 5.262626 %
epoch 50, minibatch 166/166, validation error 5.202020 %
epoch 53, minibatch 166/166, validation error 5.191919 %
epoch 54, minibatch 166/166, validation error 5.121212 %
epoch 55, minibatch 166/166, validation error 5.090909 %
epoch 56, minibatch 166/166, validation error 5.060606 %
epoch 58, minibatch 166/166, validation error 5.040404 %
epoch 59, minibatch 166/166, validation error 5.020202 %
epoch 60, minibatch 166/166, validation error 5.010101 %
epoch 61, minibatch 166/166, validation error 4.959596 %
epoch 63, minibatch 166/166, validation error 4.939394 %
epoch 65, minibatch 166/166, validation error 4.858586 %
epoch 66, minibatch 166/166, validation error 4.787879 %
epoch 67, minibatch 166/166, validation error 4.767677 %
epoch 68, minibatch 166/166, validation error 4.757576 %
epoch 69, minibatch 166/166, validation error 4.696970 %
epoch 70, minibatch 166/166, validation error 4.646465 %
epoch 71, minibatch 166/166, validation error 4.636364 %
epoch 72, minibatch 166/166, validation error 4.626263 %
epoch 73, minibatch 166/166, validation error 4.585859 %
epoch 74, minibatch 166/166, validation error 4.575758 %
epoch 77, minibatch 166/166, validation error 4.535354 %
epoch 79, minibatch 166/166, validation error 4.525253 %
epoch 84, minibatch 166/166, validation error 4.494949 %
epoch 85, minibatch 166/166, validation error 4.464646 %
epoch 86, minibatch 166/166, validation error 4.444444 %
epoch 87, minibatch 166/166, validation error 4.424242 %
epoch 89, minibatch 166/166, validation error 4.414141 %
epoch 90, minibatch 166/166, validation error 4.383838 %
epoch 92, minibatch 166/166, validation error 4.333333 %
epoch 93, minibatch 166/166, validation error 4.313131 %
epoch 98, minibatch 166/166, validation error 4.262626 %
epoch 99, minibatch 166/166, validation error 4.212121 %
epoch 106, minibatch 166/166, validation error 4.191919 %
epoch 107, minibatch 166/166, validation error 4.161616 %
epoch 108, minibatch 166/166, validation error 4.151515 %
epoch 109, minibatch 166/166, validation error 4.151515 %
epoch 110, minibatch 166/166, validation error 4.131313 %
epoch 111, minibatch 166/166, validation error 4.090909 %
epoch 112, minibatch 166/166, validation error 4.050505 %
epoch 113, minibatch 166/166, validation error 4.030303 %
epoch 115, minibatch 166/166, validation error 4.000000 %
epoch 133, minibatch 166/166, validation error 3.989899 %
epoch 159, minibatch 166/166, validation error 3.959596 %
epoch 177, minibatch 166/166, validation error 3.959596 %
epoch 179, minibatch 166/166, validation error 3.949495 %
epoch 186, minibatch 166/166, validation error 3.909091 %
epoch 187, minibatch 166/166, validation error 3.868687 %
epoch 188, minibatch 166/166, validation error 3.868687 %
Selection : Best validation score of 3.86868686869 %
training member 2
epoch 1, minibatch 166/166, validation error 13.414141 %
epoch 2, minibatch 166/166, validation error 11.121212 %
epoch 3, minibatch 166/166, validation error 10.404040 %
epoch 4, minibatch 166/166, validation error 9.858586 %
epoch 5, minibatch 166/166, validation error 9.363636 %
epoch 6, minibatch 166/166, validation error 9.070707 %
epoch 7, minibatch 166/166, validation error 8.767677 %
epoch 8, minibatch 166/166, validation error 8.434343 %
epoch 9, minibatch 166/166, validation error 8.212121 %
epoch 10, minibatch 166/166, validation error 7.959596 %
