... loading data
... building the model
... training
epoch 1, minibatch 500/500, validation error 15.940000 %
     epoch 1, minibatch 500/500, test error of best model 16.860000 %
epoch 2, minibatch 500/500, validation error 15.150000 %
     epoch 2, minibatch 500/500, test error of best model 16.140000 %
epoch 3, minibatch 500/500, validation error 14.600000 %
     epoch 3, minibatch 500/500, test error of best model 15.630000 %
epoch 4, minibatch 500/500, validation error 14.120000 %
     epoch 4, minibatch 500/500, test error of best model 15.200000 %
epoch 5, minibatch 500/500, validation error 13.890000 %
     epoch 5, minibatch 500/500, test error of best model 14.840000 %
epoch 6, minibatch 500/500, validation error 13.640000 %
     epoch 6, minibatch 500/500, test error of best model 14.580000 %
epoch 7, minibatch 500/500, validation error 13.250000 %
     epoch 7, minibatch 500/500, test error of best model 14.290000 %
epoch 8, minibatch 500/500, validation error 12.840000 %
     epoch 8, minibatch 500/500, test error of best model 14.080000 %
epoch 9, minibatch 500/500, validation error 12.610000 %
     epoch 9, minibatch 500/500, test error of best model 13.770000 %
epoch 10, minibatch 500/500, validation error 12.430000 %
     epoch 10, minibatch 500/500, test error of best model 13.580000 %
epoch 11, minibatch 500/500, validation error 12.190000 %
     epoch 11, minibatch 500/500, test error of best model 13.280000 %
epoch 12, minibatch 500/500, validation error 12.080000 %
     epoch 12, minibatch 500/500, test error of best model 13.060000 %
epoch 13, minibatch 500/500, validation error 11.930000 %
     epoch 13, minibatch 500/500, test error of best model 12.860000 %
epoch 14, minibatch 500/500, validation error 11.710000 %
     epoch 14, minibatch 500/500, test error of best model 12.620000 %
epoch 15, minibatch 500/500, validation error 11.580000 %
     epoch 15, minibatch 500/500, test error of best model 12.470000 %
epoch 16, minibatch 500/500, validation error 11.360000 %
     epoch 16, minibatch 500/500, test error of best model 12.230000 %
epoch 17, minibatch 500/500, validation error 11.250000 %
     epoch 17, minibatch 500/500, test error of best model 12.100000 %
epoch 18, minibatch 500/500, validation error 11.130000 %
     epoch 18, minibatch 500/500, test error of best model 12.000000 %
epoch 19, minibatch 500/500, validation error 10.970000 %
     epoch 19, minibatch 500/500, test error of best model 11.810000 %
epoch 20, minibatch 500/500, validation error 10.850000 %
     epoch 20, minibatch 500/500, test error of best model 11.640000 %
epoch 21, minibatch 500/500, validation error 10.690000 %
     epoch 21, minibatch 500/500, test error of best model 11.530000 %
epoch 22, minibatch 500/500, validation error 10.580000 %
     epoch 22, minibatch 500/500, test error of best model 11.300000 %
epoch 23, minibatch 500/500, validation error 10.410000 %
     epoch 23, minibatch 500/500, test error of best model 11.190000 %
epoch 24, minibatch 500/500, validation error 10.290000 %
     epoch 24, minibatch 500/500, test error of best model 11.070000 %
epoch 25, minibatch 500/500, validation error 10.240000 %
     epoch 25, minibatch 500/500, test error of best model 10.880000 %
epoch 26, minibatch 500/500, validation error 10.180000 %
     epoch 26, minibatch 500/500, test error of best model 10.710000 %
epoch 27, minibatch 500/500, validation error 10.030000 %
     epoch 27, minibatch 500/500, test error of best model 10.590000 %
epoch 28, minibatch 500/500, validation error 9.900000 %
     epoch 28, minibatch 500/500, test error of best model 10.530000 %
epoch 29, minibatch 500/500, validation error 9.810000 %
     epoch 29, minibatch 500/500, test error of best model 10.420000 %
epoch 30, minibatch 500/500, validation error 9.670000 %
     epoch 30, minibatch 500/500, test error of best model 10.330000 %
epoch 31, minibatch 500/500, validation error 9.590000 %
     epoch 31, minibatch 500/500, test error of best model 10.250000 %
epoch 32, minibatch 500/500, validation error 9.510000 %
     epoch 32, minibatch 500/500, test error of best model 10.150000 %
epoch 33, minibatch 500/500, validation error 9.450000 %
     epoch 33, minibatch 500/500, test error of best model 10.000000 %
epoch 34, minibatch 500/500, validation error 9.370000 %
     epoch 34, minibatch 500/500, test error of best model 9.920000 %
epoch 35, minibatch 500/500, validation error 9.270000 %
     epoch 35, minibatch 500/500, test error of best model 9.870000 %
epoch 36, minibatch 500/500, validation error 9.200000 %
     epoch 36, minibatch 500/500, test error of best model 9.790000 %
epoch 37, minibatch 500/500, validation error 9.170000 %
     epoch 37, minibatch 500/500, test error of best model 9.770000 %
epoch 38, minibatch 500/500, validation error 9.100000 %
     epoch 38, minibatch 500/500, test error of best model 9.730000 %
epoch 39, minibatch 500/500, validation error 9.000000 %
     epoch 39, minibatch 500/500, test error of best model 9.710000 %
epoch 40, minibatch 500/500, validation error 8.980000 %
     epoch 40, minibatch 500/500, test error of best model 9.630000 %
epoch 41, minibatch 500/500, validation error 8.930000 %
     epoch 41, minibatch 500/500, test error of best model 9.570000 %
epoch 42, minibatch 500/500, validation error 8.880000 %
     epoch 42, minibatch 500/500, test error of best model 9.420000 %
epoch 43, minibatch 500/500, validation error 8.770000 %
     epoch 43, minibatch 500/500, test error of best model 9.380000 %
epoch 44, minibatch 500/500, validation error 8.760000 %
     epoch 44, minibatch 500/500, test error of best model 9.320000 %
epoch 45, minibatch 500/500, validation error 8.730000 %
     epoch 45, minibatch 500/500, test error of best model 9.210000 %
epoch 46, minibatch 500/500, validation error 8.660000 %
     epoch 46, minibatch 500/500, test error of best model 9.150000 %
epoch 47, minibatch 500/500, validation error 8.580000 %
     epoch 47, minibatch 500/500, test error of best model 9.080000 %
epoch 48, minibatch 500/500, validation error 8.520000 %
     epoch 48, minibatch 500/500, test error of best model 9.010000 %
epoch 49, minibatch 500/500, validation error 8.490000 %
     epoch 49, minibatch 500/500, test error of best model 8.930000 %
epoch 50, minibatch 500/500, validation error 8.360000 %
     epoch 50, minibatch 500/500, test error of best model 8.860000 %
epoch 51, minibatch 500/500, validation error 8.330000 %
     epoch 51, minibatch 500/500, test error of best model 8.790000 %
epoch 52, minibatch 500/500, validation error 8.290000 %
     epoch 52, minibatch 500/500, test error of best model 8.720000 %
epoch 53, minibatch 500/500, validation error 8.250000 %
     epoch 53, minibatch 500/500, test error of best model 8.730000 %
epoch 54, minibatch 500/500, validation error 8.230000 %
     epoch 54, minibatch 500/500, test error of best model 8.710000 %
epoch 55, minibatch 500/500, validation error 8.120000 %
     epoch 55, minibatch 500/500, test error of best model 8.660000 %
epoch 56, minibatch 500/500, validation error 8.100000 %
     epoch 56, minibatch 500/500, test error of best model 8.590000 %
epoch 57, minibatch 500/500, validation error 8.030000 %
     epoch 57, minibatch 500/500, test error of best model 8.530000 %
epoch 58, minibatch 500/500, validation error 8.030000 %
epoch 59, minibatch 500/500, validation error 7.980000 %
     epoch 59, minibatch 500/500, test error of best model 8.400000 %
epoch 60, minibatch 500/500, validation error 7.910000 %
     epoch 60, minibatch 500/500, test error of best model 8.340000 %
epoch 61, minibatch 500/500, validation error 7.900000 %
     epoch 61, minibatch 500/500, test error of best model 8.270000 %
epoch 62, minibatch 500/500, validation error 7.810000 %
     epoch 62, minibatch 500/500, test error of best model 8.250000 %
epoch 63, minibatch 500/500, validation error 7.780000 %
     epoch 63, minibatch 500/500, test error of best model 8.230000 %
epoch 64, minibatch 500/500, validation error 7.780000 %
epoch 65, minibatch 500/500, validation error 7.720000 %
     epoch 65, minibatch 500/500, test error of best model 8.140000 %
epoch 66, minibatch 500/500, validation error 7.670000 %
     epoch 66, minibatch 500/500, test error of best model 8.090000 %
epoch 67, minibatch 500/500, validation error 7.650000 %
     epoch 67, minibatch 500/500, test error of best model 8.070000 %
epoch 68, minibatch 500/500, validation error 7.670000 %
epoch 69, minibatch 500/500, validation error 7.630000 %
     epoch 69, minibatch 500/500, test error of best model 7.930000 %
epoch 70, minibatch 500/500, validation error 7.580000 %
     epoch 70, minibatch 500/500, test error of best model 7.880000 %
epoch 71, minibatch 500/500, validation error 7.560000 %
     epoch 71, minibatch 500/500, test error of best model 7.880000 %
epoch 72, minibatch 500/500, validation error 7.500000 %
     epoch 72, minibatch 500/500, test error of best model 7.850000 %
epoch 73, minibatch 500/500, validation error 7.490000 %
     epoch 73, minibatch 500/500, test error of best model 7.840000 %
epoch 74, minibatch 500/500, validation error 7.510000 %
epoch 75, minibatch 500/500, validation error 7.510000 %
epoch 76, minibatch 500/500, validation error 7.470000 %
     epoch 76, minibatch 500/500, test error of best model 7.770000 %
epoch 77, minibatch 500/500, validation error 7.470000 %
epoch 78, minibatch 500/500, validation error 7.430000 %
     epoch 78, minibatch 500/500, test error of best model 7.700000 %
epoch 79, minibatch 500/500, validation error 7.450000 %
epoch 80, minibatch 500/500, validation error 7.420000 %
     epoch 80, minibatch 500/500, test error of best model 7.670000 %
epoch 81, minibatch 500/500, validation error 7.400000 %
     epoch 81, minibatch 500/500, test error of best model 7.620000 %
epoch 82, minibatch 500/500, validation error 7.360000 %
     epoch 82, minibatch 500/500, test error of best model 7.580000 %
epoch 83, minibatch 500/500, validation error 7.340000 %
     epoch 83, minibatch 500/500, test error of best model 7.560000 %
epoch 84, minibatch 500/500, validation error 7.320000 %
     epoch 84, minibatch 500/500, test error of best model 7.530000 %
epoch 85, minibatch 500/500, validation error 7.280000 %
     epoch 85, minibatch 500/500, test error of best model 7.500000 %
epoch 86, minibatch 500/500, validation error 7.260000 %
     epoch 86, minibatch 500/500, test error of best model 7.480000 %
epoch 87, minibatch 500/500, validation error 7.270000 %
epoch 88, minibatch 500/500, validation error 7.260000 %
epoch 89, minibatch 500/500, validation error 7.220000 %
     epoch 89, minibatch 500/500, test error of best model 7.400000 %
epoch 90, minibatch 500/500, validation error 7.170000 %
     epoch 90, minibatch 500/500, test error of best model 7.380000 %
epoch 91, minibatch 500/500, validation error 7.140000 %
     epoch 91, minibatch 500/500, test error of best model 7.330000 %
epoch 92, minibatch 500/500, validation error 7.130000 %
