... loading data
training member 0
epoch 1, minibatch 166/166, validation error 11.717172 %
epoch 2, minibatch 166/166, validation error 10.757576 %
epoch 3, minibatch 166/166, validation error 10.070707 %
epoch 4, minibatch 166/166, validation error 9.444444 %
epoch 5, minibatch 166/166, validation error 9.181818 %
epoch 6, minibatch 166/166, validation error 8.848485 %
epoch 7, minibatch 166/166, validation error 8.626263 %
epoch 8, minibatch 166/166, validation error 8.353535 %
epoch 9, minibatch 166/166, validation error 8.090909 %
epoch 10, minibatch 166/166, validation error 7.858586 %
epoch 11, minibatch 166/166, validation error 7.626263 %
epoch 12, minibatch 166/166, validation error 7.454545 %
epoch 13, minibatch 166/166, validation error 7.353535 %
epoch 14, minibatch 166/166, validation error 7.090909 %
epoch 15, minibatch 166/166, validation error 6.909091 %
epoch 16, minibatch 166/166, validation error 6.808081 %
epoch 17, minibatch 166/166, validation error 6.666667 %
epoch 18, minibatch 166/166, validation error 6.585859 %
epoch 19, minibatch 166/166, validation error 6.464646 %
epoch 20, minibatch 166/166, validation error 6.303030 %
epoch 21, minibatch 166/166, validation error 6.202020 %
epoch 22, minibatch 166/166, validation error 6.070707 %
epoch 23, minibatch 166/166, validation error 6.020202 %
epoch 24, minibatch 166/166, validation error 5.919192 %
epoch 25, minibatch 166/166, validation error 5.797980 %
epoch 26, minibatch 166/166, validation error 5.717172 %
epoch 27, minibatch 166/166, validation error 5.595960 %
epoch 28, minibatch 166/166, validation error 5.575758 %
epoch 29, minibatch 166/166, validation error 5.474747 %
epoch 30, minibatch 166/166, validation error 5.414141 %
epoch 31, minibatch 166/166, validation error 5.282828 %
epoch 32, minibatch 166/166, validation error 5.202020 %
epoch 33, minibatch 166/166, validation error 5.171717 %
epoch 34, minibatch 166/166, validation error 5.090909 %
epoch 35, minibatch 166/166, validation error 5.000000 %
epoch 36, minibatch 166/166, validation error 4.939394 %
epoch 37, minibatch 166/166, validation error 4.919192 %
epoch 38, minibatch 166/166, validation error 4.878788 %
epoch 39, minibatch 166/166, validation error 4.868687 %
epoch 40, minibatch 166/166, validation error 4.808081 %
epoch 41, minibatch 166/166, validation error 4.767677 %
epoch 43, minibatch 166/166, validation error 4.757576 %
epoch 44, minibatch 166/166, validation error 4.676768 %
epoch 45, minibatch 166/166, validation error 4.606061 %
epoch 48, minibatch 166/166, validation error 4.575758 %
epoch 49, minibatch 166/166, validation error 4.545455 %
epoch 53, minibatch 166/166, validation error 4.545455 %
epoch 54, minibatch 166/166, validation error 4.505051 %
epoch 56, minibatch 166/166, validation error 4.494949 %
epoch 57, minibatch 166/166, validation error 4.454545 %
epoch 59, minibatch 166/166, validation error 4.424242 %
epoch 62, minibatch 166/166, validation error 4.414141 %
epoch 65, minibatch 166/166, validation error 4.363636 %
epoch 66, minibatch 166/166, validation error 4.333333 %
epoch 67, minibatch 166/166, validation error 4.313131 %
epoch 77, minibatch 166/166, validation error 4.292929 %
epoch 79, minibatch 166/166, validation error 4.242424 %
epoch 80, minibatch 166/166, validation error 4.202020 %
epoch 85, minibatch 166/166, validation error 4.151515 %
epoch 86, minibatch 166/166, validation error 4.131313 %
epoch 87, minibatch 166/166, validation error 4.121212 %
epoch 88, minibatch 166/166, validation error 4.080808 %
epoch 89, minibatch 166/166, validation error 4.050505 %
epoch 94, minibatch 166/166, validation error 4.030303 %
epoch 95, minibatch 166/166, validation error 4.020202 %
epoch 96, minibatch 166/166, validation error 3.989899 %
epoch 98, minibatch 166/166, validation error 3.979798 %
epoch 100, minibatch 166/166, validation error 3.969697 %
epoch 107, minibatch 166/166, validation error 3.929293 %
epoch 110, minibatch 166/166, validation error 3.888889 %
epoch 111, minibatch 166/166, validation error 3.878788 %
epoch 112, minibatch 166/166, validation error 3.868687 %
epoch 113, minibatch 166/166, validation error 3.858586 %
epoch 114, minibatch 166/166, validation error 3.777778 %
